NatureID||Nature||Code||Libelle||Etat||DateCreation
1|211100 Frais de Recherche en vue de la valorisation des ressources humaines|211100|Frais de Recherche en vue de la valorisation des ressources humaines|NULL|NULL
2|211200 Frais de recherche et de d,veloppement m,dical|211200|Frais de recherche et de d,veloppement m,dical|NULL|NULL
3|211300 Frais de recherche et de d,veloppement en environnement, m,t,orologique, forestier|211300|Frais de recherche et de d,veloppement en environnement, m,t,orologique, forestier|NULL|NULL
4|211400 Frais de recherche et de d,veloppement agricole et halieutique|211400|Frais de recherche et de d,veloppement agricole et halieutique|NULL|NULL
5|211500 Frais de recherche et de d,veloppement minier, ,nerg,tique, g,ologique et    hydraulique |211500|Frais de recherche et de d,veloppement minier, ,nerg,tique, g,ologique et    hydraulique |NULL|NULL
6|211600 Frais de recherche et de d,veloppement industriel |211600|Frais de recherche et de d,veloppement industriel |NULL|NULL
7|211700 Frais de recherche et de d,veloppement des infrastructures et Technologies de l'Information et de la Communcation|211700|Frais de recherche et de d,veloppement des infrastructures et Technologies de l'Information et de la Communcation|NULL|NULL
8|211800 Frais de recherche et de d,veloppement touristique, sportif, culturel et social|211800|Frais de recherche et de d,veloppement touristique, sportif, culturel et social|NULL|NULL
9|211900 Autres Frais de recherche et de d,veloppement|211900|Autres Frais de recherche et de d,veloppement|NULL|NULL
10|212100 Brevets|212100|Brevets|NULL|NULL
11|212200 Marques de fabrique|212200|Marques de fabrique|NULL|NULL
12|212300 Droits d'auteur|212300|Droits d'auteur|NULL|NULL
13|212400 Licences|212400|Licences|NULL|NULL
14|212900 Autres droits de propri,t,|212900|Autres droits de propri,t,|NULL|NULL
15|213100 Conception de systSmes d'organisation - progiciels|213100|Conception de systSmes d'organisation - progiciels|NULL|NULL
16|214100 Droits d'exploitation- Fonds de commerce|214100|Droits d'exploitation- Fonds de commerce|NULL|NULL
